R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
230,209,209,212,165,165,165,127,127,127,99,99,99,77,77
230,214,209,212,173,165,165,133,127,127,103,99,99,80,77
235,209,214,219,165,173,171,127,133,132,99,103,103,77,80
224,209,219,203,165,181,158,127,140,122,99,108,95,77,84
219,209,224,181,165,203,140,127,158,108,99,122,84,77,95
214,209,230,173,165,212,133,127,165,103,99,127,80,77,99
209,209,235,165,165,219,127,127,171,99,99,132,77,77,103
209,214,230,165,173,212,127,133,165,99,103,127,77,80,99
209,219,224,165,181,203,127,140,158,99,108,122,77,84,95
209,224,219,165,203,181,127,158,140,99,122,108,77,95,84
209,230,214,165,212,173,127,165,133,99,127,103,77,99,80
209,235,209,165,219,165,127,171,127,99,132,99,77,103,77
214,230,209,173,212,165,133,165,127,103,127,99,80,99,77
219,224,209,181,203,165,140,158,127,108,122,99,84,95,77
224,219,209,203,181,165,158,140,127,122,108,99,95,84,77
